Date,Open,High,Low,Close,Volume
2016-11-17,25.288,25.4078,25.0585,25.3144,115082556
2016-11-18,25.2659,25.4548,25.2509,25.3394,114122451
2016-11-21,25.3542,25.7898,25.3294,25.7284,118604985
2016-11-22,25.7799,25.8837,25.6513,25.7461,97289339
2016-11-23,25.6425,25.6785,25.403,25.6148,107336014
2016-11-25,25.5932,25.7611,25.55,25.7432,48056717
2016-11-28,25.6589,25.8966,25.6503,25.6925,109021108
2016-11-29,25.5107,25.7994,25.3413,25.6657,120162692
2016-11-30,25.7005,25.8346,25.3881,25.4489,143125425
2016-12-01,25.4128,25.5471,25.1037,25.2114,151484396
2016-12-02,25.1359,25.3473,25.0634,25.3016,103618006
2016-12-05,25.3274,25.3344,24.9291,25.1225,140261912
2016-12-06,25.2134,25.4098,25.1419,25.3144,109386175
2016-12-07,25.1575,25.6049,25.1339,25.569,127287735
2016-12-08,25.5275,25.8867,25.4687,25.8177,112404940
2016-12-09,25.8602,26.4097,25.8602,26.2408,144885023
2016-12-12,26.0897,26.4755,25.9012,26.0927,112552581
2016-12-13,26.2155,26.6942,26.1967,26.5214,182112564
2016-12-14,26.4843,26.759,26.4705,26.5214,140529618
2016-12-15,26.5666,26.8856,26.5314,26.6695,188450296
2016-12-16,26.8228,26.8296,26.6306,26.7069,168081328
2016-12-19,26.6648,27.0259,26.6549,26.864,114227324
2016-12-20,26.8856,27.0504,26.8738,26.9327,81996045
2016-12-21,26.8983,27.0308,26.8934,26.9571,93980937
2016-12-22,26.7953,26.8325,26.6286,26.7805,109269811
2016-12-23,26.6157,26.8345,26.6157,26.8345,59829193
2016-12-27,26.8345,27.124,26.8266,27.0013,76020263
2016-12-28,27.0563,27.176,26.759,26.8885,83853197
2016-12-29,26.8169,26.9699,26.805,26.8856,64059888
2016-12-30,26.866,26.9865,26.5793,26.6695,132827859
2017-01-03,26.6648,26.7903,26.4187,26.7472,120467994
2017-01-04,26.6774,26.8325,26.6549,26.7178,89115042
2017-01-05,26.6942,26.9109,26.6677,26.8561,94219099
2017-01-06,26.8934,27.2114,26.8228,27.1505,134286971
2017-01-09,27.1592,27.5047,27.1564,27.3988,137390282
2017-01-10,27.3475,27.4928,27.2428,27.4281,92002507
2017-01-11,27.3398,27.6147,27.3093,27.5752,114849895
2017-01-12,27.3752,27.4733,27.221,27.4636,115821800
2017-01-13,27.4281,27.5459,27.3575,27.4114,110288116
2017-01-17,27.2527,27.6861,27.223,27.6321,138639514
2017-01-18,27.6321,27.7452,27.5655,27.6302,98046501
2017-01-19,27.4968,27.6539,27.4898,27.5831,103543644
2017-01-20,27.7324,27.7324,27.5733,27.6321,123397119
2017-01-23,27.6321,27.8208,27.5812,27.6539,84513995
2017-01-24,27.5293,27.6569,27.5194,27.6243,98112726
2017-01-25,27.7255,28.1161,27.6959,28.066,137542575
2017-01-26,28.0139,28.1945,28.0011,28.0787,110114044
2017-01-27,28.1258,28.1749,28.0011,28.0816,87371506
2017-01-30,27.8462,28.0041,27.7843,28.0041,129165525
2017-01-31,27.8973,27.952,27.7745,27.9451,173319162
2017-02-01,29.2491,30.049,29.2432,29.6458,478841584
2017-02-02,29.4691,29.7929,29.423,29.6007,139515821
2017-02-03,29.5476,29.7458,29.5163,29.7184,106428581
2017-02-06,29.7312,30.051,29.6801,30.0078,113411145
2017-02-07,30.0607,30.411,30.0412,30.2847,157365333
2017-02-08,30.2482,30.4435,30.2159,30.3984,93206785
2017-02-09,30.4435,30.6329,30.3158,30.629,103926111
2017-02-10,30.6387,30.7467,30.5406,30.5575,83544459
2017-02-13,30.778,30.9448,30.7044,30.8301,95617996
2017-02-14,30.8693,31.2421,30.8205,31.2244,134301650
2017-02-15,31.3435,31.5147,31.1343,31.3405,145425094
2017-02-16,31.3793,31.4267,31.1832,31.3037,93129010
2017-02-17,31.2441,31.4121,31.2441,31.3902,91350790
2017-02-21,31.5052,31.6298,31.4461,31.6169,94836464
2017-02-22,31.5543,31.7143,31.4776,31.7114,76087931
2017-02-23,31.7722,31.7919,31.5227,31.5691,80460009
2017-02-24,31.4297,31.608,31.2882,31.608,91791272
2017-02-27,31.7161,31.7821,31.5167,31.6678,82749810
2017-02-28,31.7044,31.7821,31.6169,31.6818,91450443
2017-03-01,31.8898,32.4128,31.8209,32.3322,151341314
2017-03-02,32.3773,32.444,32.087,32.1341,110556111
2017-03-03,32.092,32.3402,32.0497,32.3302,86394216
2017-03-06,32.2292,32.3282,32.0497,32.2244,81915034
2017-03-07,32.1575,32.3716,32.095,32.2676,72156048
2017-03-08,32.1311,32.3322,32.1019,32.1439,77702168
2017-03-09,32.082,32.095,31.6975,32.0693,89137673
2017-03-10,32.2048,32.2264,32.0594,32.1774,79942710
2017-03-13,32.1834,32.2459,32.1019,32.193,75331181
2017-03-14,32.2167,32.2991,32.1047,32.141,66196115
2017-03-15,32.242,32.5522,32.1478,32.4866,111090776
2017-03-16,32.5442,32.6129,32.4381,32.5374,83158811
2017-03-17,32.6089,32.6089,32.3519,32.3744,164054084
2017-03-20,32.4727,32.7228,32.4314,32.7163,93147385
2017-03-21,32.8699,33.024,32.3184,32.3421,170926621
2017-03-22,32.3421,32.7453,32.3253,32.7063,111818883
2017-03-23,32.6697,32.7395,32.5205,32.5892,87977043
2017-03-24,32.7228,32.7788,32.4599,32.5275,92623739
2017-03-27,32.236,32.6599,32.0556,32.5794,96077087
2017-03-28,32.5863,33.3126,32.5225,33.2567,141637461
2017-03-29,33.2271,33.4165,33.1133,33.3283,121299737
2017-03-30,33.345,33.4185,33.186,33.286,80864928
2017-03-31,33.2371,33.3645,33.0743,33.2221,81259782
2017-04-03,33.2341,33.3283,33.084,33.2321,86417863
2017-04-04,33.1271,33.5106,33.1075,33.4814,84014539
2017-04-05,33.3518,33.6393,33.2597,33.3087,116818264
2017-04-06,33.3695,33.4235,33.1743,33.2221,87765217
2017-04-07,33.24,33.342,33.1301,33.1467,72090288
2017-04-10,33.2075,33.2734,33.0475,33.1075,72149902
2017-04-11,33.0574,33.1496,32.3902,32.7523,131359872
2017-04-12,32.7453,32.8769,32.6109,32.7944,85960194
2017-04-13,32.8211,32.9309,32.6208,32.6208,74122165
2017-04-17,32.7181,32.8141,32.5767,32.8014,67562496
2017-04-18,32.7033,32.8534,32.6357,32.6551,60812566
2017-04-19,32.8141,32.8435,32.4846,32.5345,71428595
2017-04-20,32.6599,33.0524,32.6456,32.9436,96809143
2017-04-21,32.9436,32.9978,32.8063,32.9063,71908528
2017-04-24,33.186,33.2907,33.1104,33.2173,74019903
2017-04-25,33.2811,33.5136,33.2714,33.4264,80737339
2017-04-26,33.4107,33.443,33.1565,33.2271,86552819
2017-04-27,33.283,33.3382,33.1398,33.2538,61433590
2017-04-28,33.3224,33.3714,33.1301,33.2202,90199811
2017-05-01,33.5558,34.0476,33.5255,33.9005,144970473
2017-05-02,34.1252,34.2459,33.9611,34.1174,192126151
2017-05-03,33.6687,34.1124,33.3645,34.0151,197215003
2017-05-04,33.8846,34.0348,33.7178,33.8876,100948944
2017-05-05,33.9435,34.4557,33.9435,34.4507,118164591
2017-05-08,34.4654,35.5447,34.4654,35.3861,210509316
2017-05-09,35.587,35.8147,35.4859,35.6164,168773526
2017-05-10,35.5293,35.6039,35.1749,35.4419,111474756
2017-05-11,35.4025,35.7743,35.3683,35.748,117298627
2017-05-12,35.9208,36.3288,35.913,36.2505,139653962
2017-05-15,36.2306,36.379,36.0069,36.1562,111595570
2017-05-16,36.2131,36.2426,35.9254,36.1051,86107922
2017-05-17,35.6723,35.8923,34.7649,34.8914,218237946
2017-05-18,35.1258,35.6115,35.0982,35.4251,144551700
2017-05-19,35.6213,35.7557,35.4419,35.5437,115787572
2017-05-22,35.7595,35.8943,35.5075,35.7576,98760266
2017-05-23,35.9698,35.9698,35.6039,35.7215,85732093
2017-05-24,35.7294,35.7971,35.4517,35.6115,82709086
